Customer_ID,Name,Age,Occupation
CUS_0xd40,Aaron Maashoh,23.0,Scientist
CUS_0xb891,Jasond,55.0,Entrepreneur
CUS_0x1cdb,Deepaa,21.0,Developer
CUS_0x95ee,Np,31.0,Lawyer
CUS_0x284a,Nadiaq,33.0,Lawyer
CUS_0x4157,Charlie Zhur,23.0,Doctor
CUS_0xba08,Jamesj,45.0,Journalist
CUS_0xa66b,Saphirj,41.0,Teacher
CUS_0xc0ab,Soyoungd,33.0,Engineer
CUS_0x3e45,Harriet McLeodd,35.0,Entrepreneur
CUS_0x6c66,Sinead Carews,39.0,Manager
CUS_0xff4,Poornimaf,37.0,Entrepreneur
CUS_0x33d2,Chalmersa,31.0,Scientist
CUS_0xfdb,Patrickg,45.0,Teacher
CUS_0x4100,Reema,31.0,Entrepreneur
CUS_0x132f,Mark Felsenthald,41.0,Musician
CUS_0xa16e,Lee Chyenz,41.0,Media_Manager
CUS_0xac86,Nickb,19.0,Entrepreneur
CUS_0x5b48,McBrideq,31.0,Lawyer
CUS_0xb681,Sarahb,37.0,Manager
CUS_0x9a71,Mukhopadhyayc,55.0,Scientist
CUS_0x6048,Ayeshaz,43.0,Musician
CUS_0x95b5,Lisa Baertleinu,21.0,Engineer
CUS_0x4004,Carlosj,43.0,Writer
CUS_0xb101,Andreas Cremerf,37.0,Scientist
CUS_0x706a,Matt Falloonz,19.0,Engineer
CUS_0x42ac,Lawrencea,37.0,Musician
CUS_0x571f,Emily Flitterl,19.0,Developer
CUS_0xb5ff,Nateg,33.0,Media_Manager
CUS_0x6a1b,Toonkeln,33.0,Accountant
CUS_0xc65,Pomeroyi,21.0,Lawyer
CUS_0xaedb,Olivia Oranr,19.0,Musician
CUS_0x8e9b,Rachelle Younglaic,15.0,Entrepreneur
CUS_0x609d,Shupingu,27.0,Architect
CUS_0x9b3c,Scheydere,43.0,Lawyer
CUS_0xb14,Edwardk,25.0,Manager
CUS_0xbe1b,Kazunorit,43.0,Developer
CUS_0x9ce6,Ekr,43.0,Developer
CUS_0x6ffb,Herbert Lashb,37.0,Writer
CUS_0x4315,Christophd,23.0,Entrepreneur
CUS_0x3f5b,Mikeh,25.0,Doctor
CUS_0x9d78,Tim Hepherp,21.0,Scientist
CUS_0x8f17,Ermans,45.0,Journalist
CUS_0x7d0b,Isabel Reynoldsb,21.0,Media_Manager
CUS_0x7504,Laup,19.0,Lawyer
CUS_0x774,Christopher Doeringv,33.0,Musician
CUS_0x9f70,Michelley,45.0,Entrepreneur
CUS_0x5cdf,Wohli,17.0,Musician
CUS_0x308b,Longstrethy,43.0,Doctor
CUS_0xa295,Patrick Temple-Westf,39.0,Engineer
CUS_0x6c2e,Dowsettk,47.0,Mechanic
CUS_0x384c,David Henryp,41.0,Scientist
CUS_0x6cbb,Oreskovicv,35.0,Media_Manager
CUS_0x36ab,Svea Herbst-Baylisss,15.0,Teacher
CUS_0x6649,Slaterf,19.0,Mechanic
CUS_0x6856,Gellerp,25.0,Teacher
CUS_0x700d,Blenkinsopc,21.0,Accountant
CUS_0x78e0,Tagarish,47.0,Accountant
CUS_0x6794,Raymondl,41.0,Teacher
CUS_0x36bb,Elinor Comlaye,37.0,Journalist
CUS_0x1e70,Alexh,17.0,Manager
CUS_0xa335,Lisa Baertleink,21.0,Architect
CUS_0x3861,Fiona Ortizx,53.0,Engineer
CUS_0x240d,Taiga Uranakan,55.0,Musician
CUS_0x259a,Allison Martelly,25.0,Journalist
CUS_0x8643,Steve Slatery,33.0,Musician
CUS_0x3f04,Jenniferu,25.0,Manager
CUS_0x618b,Vaughano,27.0,Lawyer
CUS_0x7250,Doris Frankelj,37.0,Teacher
CUS_0x6435,Alexei Oreskovicf,27.0,Writer
CUS_0x7878,Anna Driverq,19.0,Developer
